ID,Name,Age,Height,Weight,Nationality,Overall,Potential,Growth,Club,ValueEUR,WageEUR,ReleaseClause,Position,ContractUntil,ClubJoined,NationalTeam,PreferredFoot,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal
158023,L. Messi,34,170,72,Argentina,93,93,0,Paris Saint-Germain,78000000,320000,144300000,RW,2023.0,2021,Argentina,Left,4,4,Medium,Low,85,92,91,95,34,65
188545,R. Lewandowski,32,185,81,Poland,92,92,0,FC Bayern München,119500000,270000,197200000,ST,2023.0,2014,Poland,Right,4,4,High,Medium,78,92,79,85,44,82
20801,Cristiano Ronaldo,36,187,83,Portugal,91,91,0,Manchester United,45000000,270000,83300000,ST,2023.0,2021,Portugal,Right,4,5,High,Low,87,94,80,87,34,75
231747,K. Mbappé,22,182,73,France,91,95,4,Paris Saint-Germain,194000000,230000,373500000,ST,2022.0,2018,France,Right,4,5,High,Low,97,88,80,92,36,77
200389,J. Oblak,28,188,87,Slovenia,91,93,2,Atlético de Madrid,112000000,130000,238000000,GK,2023.0,2014,Not in team,Right,3,1,Medium,Medium,87,92,78,90,52,90
192985,K. De Bruyne,30,181,70,Belgium,91,91,0,Manchester City,125500000,350000,232200000,CM,2025.0,2015,Belgium,Right,5,4,High,High,76,86,93,88,64,78
190871,Neymar Jr,29,175,68,Brazil,91,91,0,Paris Saint-Germain,129000000,270000,238700000,LW,2025.0,2017,Not in team,Right,5,5,High,Medium,91,83,86,94,37,63
215914,N. Kanté,30,168,70,France,90,90,0,Chelsea,100000000,230000,185000000,CM,2023.0,2016,France,Right,3,2,Medium,High,78,66,75,81,87,83
202126,H. Kane,27,188,89,England,90,90,0,Tottenham Hotspur,129500000,240000,246100000,ST,2024.0,2010,England,Right,5,3,High,High,70,91,83,82,47,83
192448,M. ter Stegen,29,187,85,Germany,90,92,2,FC Barcelona,99000000,250000,210400000,GK,2025.0,2014,Not in team,Right,4,1,Medium,Medium,88,85,88,90,45,88
167495,M. Neuer,35,193,93,Germany,90,90,0,FC Bayern München,13500000,86000,22300000,GK,2023.0,2011,Germany,Right,4,1,Medium,Medium,88,88,91,88,57,89
200104,H. Son,28,183,78,Korea Republic,89,89,0,Tottenham Hotspur,104000000,220000,197600000,LW,2025.0,2015,Not in team,Right,5,4,High,High,88,87,82,86,43,69
200145,Casemiro,29,185,84,Brazil,89,89,0,Real Madrid CF,88000000,310000,180400000,CDM,2025.0,2013,Not in team,Right,3,2,High,High,65,73,76,72,86,90
165153,K. Benzema,33,185,81,France,89,89,0,Real Madrid CF,66000000,350000,135300000,CF,2023.0,2009,France,Right,4,4,Medium,Medium,76,86,81,87,39,77
192119,T. Courtois,29,199,96,Belgium,89,91,2,Real Madrid CF,85500000,250000,181700000,GK,2026.0,2018,Belgium,Left,3,1,Medium,Medium,84,89,74,88,48,86
208722,S. Mané,29,175,69,Senegal,89,89,0,Liverpool,101000000,270000,186900000,LW,2023.0,2016,Not in team,Right,4,4,High,Medium,91,83,80,90,44,77
203376,V. van Dijk,29,193,92,Netherlands,89,89,0,Liverpool,86000000,230000,159100000,CB,2025.0,2018,Netherlands,Right,3,2,Medium,Medium,78,60,71,71,91,84
230621,G. Donnarumma,22,196,90,Italy,89,93,4,Paris Saint-Germain,119500000,110000,230000000,GK,2026.0,2021,Italy,Right,3,1,Medium,Medium,91,83,79,90,53,85
209331,M. Salah,29,175,71,Egypt,89,89,0,Liverpool,101000000,270000,186900000,RW,2023.0,2017,Not in team,Left,3,4,High,Medium,90,87,81,90,45,75
